bidder_id,outcome,nb0fCountry,nb0fIP,nb0fURL,nb0fDevice,nb0fAuction,nb0fBids,nb0fMerch,nb0fPayAcc,nb0fAdress,nb0fUniqueCountry,nb0fUniqueIP,nb0fUniqueURL,nb0fUniqueDevice,nb0fUniqueAuction,nb0fUniqueBids,nb0fUniqueMerch,nb0fUniquePayAcc,nb0fUniqueAdress,jewelry,furniture,home goods,mobile,sporting goods,office equipment,computers,books and music,clothing,auto parts,nb0fBidsOnSelf,meanBidsPerAuction,stdBidsPerAuction,meanBidsPerCountry,stdBidsPerCountry,meanBidsPerDevice,stdBidsPerDevice
91a3c57b13234af24875c56fb7e2b2f4rb56a,0.0,24,24,24,24,24,24,24,1,1,6,20,1,14,18,24,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.3333333333333333,0.5940885257860045,4.0,4.6475800154489,1.7142857142857142,1.4373357526806554
624f258b49e77713fc34034560f93fb3hu3jo,0.0,3,3,3,3,3,3,3,1,1,1,3,2,2,1,3,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,,3.0,0.0,1.5,0.7071067811865476
1c5f4fc669099bfbfac515cd26997bd12ruaj,0.0,4,4,4,4,4,4,4,1,1,1,4,2,2,4,4,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,4.0,0.0,2.0,1.4142135623730951
4bee9aba2abda51bf43d639013d6efe12iycd,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,,1.0,0.0,1.0,0.0
4ab12bc61c82ddd9c2d65e60555808acqgos1,0.0,155,155,155,155,155,155,155,1,1,2,123,91,53,23,155,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6.739130434782608,9.230470249541353,77.5,108.18733752154178,2.9245283018867925,3.7868652380186925
7eaefc97fbf6af12e930528151f86eb91bafh,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,,1.0,0.0,1.0,0.0
25558d24bca82beef0f9db4ba1fe2045ynnvq,0.0,8,8,8,8,8,8,8,1,1,1,3,8,2,8,8,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,8.0,0.0,4.0,1.4142135623730951
88ae7a35e374a6fddd079ebb28c822eeohwse,0.0,34,34,34,34,34,34,34,1,1,3,32,1,3,10,34,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.4,1.8973665961010275,11.333333333333334,9.29157324317757,11.333333333333334,17.897858344878397
57db69e32163f3e486dc6ef7d615aa12usje6,0.0,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,2.0,0.0,1.0,0.0
d1be739798ba0745a1fd72ac918a9f1929hei,0.0,14,14,14,14,14,14,14,1,1,5,12,7,11,10,14,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.4,0.6992058987801011,2.8,3.0331501776206204,1.2727272727272727,0.6466697906828633
0a6ba32afe4756995db2f5cf2461cddbvj445,0.0,6,6,6,6,6,6,6,1,1,3,4,6,4,3,6,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,1.0,2.0,1.0,1.5,1.0
fa64831ab5ade55daee13f852c16b0a84ujt0,0.0,885,888,888,888,888,888,888,1,1,52,641,99,173,126,888,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7.0476190476190474,57.58747879778834,17.01923076923077,68.78482800809029,5.132947976878612,11.107807383257825
3f3a3705be5ea07b9ba7ee646ed756fbssuo7,0.0,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,2.0,0.0,1.0,0.0
1b26a52e1e5980c8487bb35cf5027fdfwfnzp,0.0,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,2.0,0.0,1.0,0.0
c0549e76b179912d52a28c3eb9b29376yaxvu,0.0,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,1.0,0.0,1.0,0.0
38e919293f5dbd62d87ce288e41aae2a281m2,0.0,922,922,922,922,922,922,922,1,1,2,869,1,114,28,922,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,32.92857142857143,67.97544685885762,461.0,650.5382386916237,8.087719298245615,15.291018477518143
585e7c21b80baf2225224fe140cdb1a73ddrf,0.0,426,426,426,426,426,426,426,1,1,32,328,44,148,137,426,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.1094890510948905,4.784593584247605,13.3125,34.49398030699494,2.8783783783783785,7.0168944866520695
d91a4421996dcf429f575e372915cdcedae6g,0.0,1250,1274,1274,1274,1274,1274,1274,1,1,50,783,86,308,163,1274,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7.815950920245399,15.705719357634829,25.0,81.54828293090905,4.136363636363637,6.3523759250690155
880f542a275df1251612886d408b32e8m96cp,0.0,18,18,18,18,18,18,18,1,1,2,15,9,7,4,18,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.5,3.7859388972001824,9.0,5.656854249492381,2.5714285714285716,3.309438162646486
6e4d22dbabcf2eaae5689c7d155e1c1fev15l,0.0,2,2,2,2,2,2,2,1,1,1,2,1,1,2,2,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,2.0,0.0,2.0,0.0
25d75fd439571c1d9b946f5ec833786063vom,0.0,5,5,5,5,5,5,5,1,1,2,4,4,4,4,5,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.25,0.5,2.5,0.7071067811865476,1.25,0.5
5354c02817e47f28e60e44a40ca5e48dll4sz,1.0,181,181,181,181,181,181,181,1,1,7,13,1,51,18,181,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10.055555555555555,6.272931786861259,25.857142857142858,55.08305417406389,3.549019607843137,6.0143618962952194
d29003d7f3ec1f0e4ca9cc17e6389b4a4phcg,0.0,48,48,48,48,48,48,48,1,1,6,35,26,28,17,48,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.823529411764706,7.264944030390453,8.0,13.29661611087573,1.7142857142857142,1.5118578920369088
b37b352197594dae96bb9219bf59d656oz79f,0.0,12,12,12,12,12,12,12,1,1,2,6,10,11,7,12,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.7142857142857142,1.1126972805283735,6.0,7.0710678118654755,1.0909090909090908,0.30151134457776363
9c509838d129fcee98cb3934079ca36asla50,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,,1.0,0.0,1.0,0.0
99acffc3cd9bfcd00668dbf472a1979350mxk,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,,1.0,0.0,1.0,0.0
067ff22ebf0d33fe0deedc816d75973865jo7,0.0,330,330,330,330,330,330,330,1,1,19,166,63,66,58,330,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5.689655172413793,8.322885162181892,17.36842105263158,45.57681004672319,5.0,8.298285272364312
11a38554244f3c14de043aaf52345c35jjqvo,0.0,286,286,286,286,286,286,286,1,1,5,226,87,96,26,286,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,11.0,39.24996815285332,57.2,125.10875269140845,2.9791666666666665,4.574481084558383
d878560888b11447e73324a6e263fbd5iydo1,0.0,4,4,4,4,4,4,4,1,1,3,4,1,4,3,4,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.3333333333333333,0.5773502691896257,1.3333333333333333,0.5773502691896257,1.0,0.0
0b68888358a492884e3885bcd73ea63bhxidk,0.0,4,4,4,4,4,4,4,1,1,3,4,3,2,2,4,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,1.4142135623730951,1.3333333333333333,0.5773502691896257,2.0,1.4142135623730951
c748f0d69cc89d5812c9fe3a6413bbb26351l,0.0,3,3,3,3,3,3,3,1,1,2,3,3,3,3,3,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,1.5,0.7071067811865476,1.0,0.0
eaaae0fb54c7d36724a9679c3128d5a7gn4k5,0.0,4569,4569,4569,4569,4569,4569,4569,1,1,29,3077,662,408,275,4569,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,16.614545454545453,38.82353591498679,157.55172413793105,341.35879597017396,11.198529411764707,41.284502185229016
322addd5687d99bf69306148e12f87dc5jbsh,0.0,39,39,39,39,39,39,39,1,1,2,23,9,14,18,39,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.1666666666666665,1.8230549667425573,19.5,21.920310216782973,2.7857142857142856,3.9648178041090643
2c581ec91825362ab66a7ffa05df5e70hl3h3,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,,1.0,0.0,1.0,0.0
0d0b3d6dc27d0f8eed70971f8c6bec1bdrs0f,0.0,100,100,100,100,100,100,100,1,1,6,66,21,29,31,100,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.225806451612903,7.4507703289407345,16.666666666666668,33.61943882141203,3.4482758620689653,8.300543041170569
a22fdc066a738070c6e4860924d06657hengu,0.0,3133,3133,3133,3133,3133,3133,3133,1,1,19,986,66,296,132,3133,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,23.734848484848484,142.33992535066145,164.89473684210526,645.4806903675949,10.58445945945946,40.3676279311972
d6d3daba4bea632d7f5a4e2c5146f109dkd4m,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,,1.0,0.0,1.0,0.0
1476226300a93d22b15253ed7339429a7ijk0,0.0,380,380,380,380,380,380,380,1,1,1,92,55,70,131,380,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.900763358778626,3.2976797480187896,380.0,0.0,5.428571428571429,19.762041956170236
975dd5178d34453c1c3c8edc47cf44274uv5s,0.0,1245,1245,1245,1245,1245,1245,1245,1,1,39,828,241,231,185,1245,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6.72972972972973,13.693557372484092,31.923076923076923,162.0590185891327,5.3896103896103895,11.341140013423068
95fede5853bfffda8f50f6af494ff1d1hsgie,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,,1.0,0.0,1.0,0.0
2a7d1f9483d34546c4d099e36e3a79790qvjm,0.0,3351,3351,3351,3351,3351,3351,3351,1,1,76,2071,284,480,289,3351,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,11.59515570934256,24.26414487368894,44.0921052631579,209.7797688136508,6.98125,17.81890057329348
d36857d18a397e7e24d05dcbef3b919ftjstv,0.0,31,31,31,31,31,31,31,1,1,4,27,23,13,13,31,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.3846153846153846,3.2025630761017423,7.75,7.41057802513857,2.3846153846153846,2.5012817227194253
c62bac5be6489bc0e0a7834a11167171c8ww3,0.0,45,45,45,45,45,45,45,1,1,3,5,25,2,19,45,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.3684210526315788,1.9779486094826597,15.0,9.16515138991168,22.5,0.7071067811865476
98783b6bd490f32f56c315307643c824nimw1,0.0,11,11,11,11,11,11,11,1,1,4,10,6,8,9,11,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.2222222222222223,0.4409585518440984,2.75,3.5,1.375,1.0606601717798212
29cc13d48af9832e0eb481c8a095fec7mom74,0.0,4,4,4,4,4,4,4,1,1,1,3,1,2,4,4,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,4.0,0.0,2.0,1.4142135623730951
342f22fed8b1e90c6ff1a6b7bd80f6334w094,0.0,2,2,2,2,2,2,2,1,1,1,2,2,2,1,2,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,,2.0,0.0,1.0,0.0
608d9b68afb12c6c27da6c6565ffe8297wvco,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,,1.0,0.0,1.0,0.0
c0e1ecd40b81bda3b7dcec501334499dgzq17,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,,1.0,0.0,1.0,0.0
a1f4d216a1a92507d97166151d7c9fe37bei4,0.0,5,5,5,5,5,5,5,1,1,3,5,3,5,5,5,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,1.6666666666666667,0.5773502691896257,1.0,0.0
5f50c6187a179e2ee7ba2fbcfc845c7a1smgr,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
9434778d2268f1fa2a8ede48c0cd05c097zey,1.0,6513,6540,6540,6540,6540,6540,6540,1,1,65,3455,1916,408,269,6540,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,24.312267657992564,334.0019425803549,100.2,611.656413969477,16.029411764705884,46.33898298543975
aabc211b4cf4d29e4ac7e7e361371622pockb,1.0,2048,2048,2048,2048,2048,2048,2048,1,1,14,358,5,24,127,2048,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,16.125984251968504,45.53787750558909,146.28571428571428,280.1017476043108,85.33333333333333,188.40466777810926
e1da7d96b83f16aa80cc254572cc154fcoudy,0.0,718,718,718,718,718,718,718,1,1,48,570,195,208,265,718,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.709433962264151,3.166243840448096,14.958333333333334,61.38194284805117,3.451923076923077,5.64211185954339
8abc7635daf75f9fbeb63783b7b8ccd5rvuyo,0.0,7,7,7,7,7,7,7,1,1,2,3,3,3,3,7,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.3333333333333335,2.3094010767585034,3.5,3.5355339059327378,2.3333333333333335,2.3094010767585034
e97becf0d4632035ad4cd5e65c827d6f0xawy,0.0,11,11,11,11,11,11,11,1,1,6,10,9,7,8,11,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.375,0.5175491695067657,1.8333333333333333,1.1690451944500122,1.5714285714285714,1.1338934190276817
848d3eaa622b26fe57d352eedd9649f4v6obv,0.0,7,7,7,7,7,7,7,1,1,2,7,4,2,1,7,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7.0,,3.5,2.1213203435596424,3.5,2.1213203435596424
5686520af5a4215a239418fec906f88e4she5,0.0,8,8,8,8,8,8,8,1,1,5,8,7,8,8,8,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,1.6,1.3416407864998738,1.0,0.0
e98d8f348b266653b6784329782fd2e91vu3h,0.0,241,250,250,250,250,250,250,1,1,19,231,49,91,11,250,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,22.727272727272727,71.73017622882423,12.68421052631579,31.157400817959676,2.7472527472527473,2.877473454239585
