bid_id,bidder_id,auction,merchandise,device,time,country,ip,url
85371,91a3c57b13234af24875c56fb7e2b2f4rb56a,yitr4,home goods,phone35,9.75949E+15,ke,82.34.177.248,vasstdc27m7nks3
858913,624f258b49e77713fc34034560f93fb3hu3jo,jefix,office equipment,phone293,9.76405E+15,id,19.186.111.152,vgbf6zjir47a9y8
715,4ab12bc61c82ddd9c2d65e60555808acqgos1,gjknq,office equipment,phone17,9.75925E+15,in,47.177.176.225,yns5v91tkyafrzb
369820,7eaefc97fbf6af12e930528151f86eb91bafh,jefix,mobile,phone1026,9.76113E+15,cn,11.139.146.239,vasstdc27m7nks3
616329,25558d24bca82beef0f9db4ba1fe2045ynnvq,fte90,mobile,phone293,9.76284E+15,id,25.178.101.254,77tjz80m04p1aol
810638,88ae7a35e374a6fddd079ebb28c822eeohwse,oagzv,home goods,phone46,9.76391E+15,de,123.102.81.146,vasstdc27m7nks3
53511,0a6ba32afe4756995db2f5cf2461cddbvj445,gss7o,jewelry,phone815,9.7594E+15,br,3.50.119.177,dvign4xdaxri9uu
981594,3f3a3705be5ea07b9ba7ee646ed756fbssuo7,23p0o,office equipment,phone2287,9.76447E+15,us,160.181.82.199,iakdgs58wnfhxml
990329,585e7c21b80baf2225224fe140cdb1a73ddrf,1z4m8,home goods,phone455,9.76451E+15,in,213.225.77.188,vasstdc27m7nks3
991085,d91a4421996dcf429f575e372915cdcedae6g,nys0k,office equipment,phone59,9.76451E+15,in,198.12.204.92,drb1nrztythqo9c
109182,6e4d22dbabcf2eaae5689c7d155e1c1fev15l,ai1dg,mobile,phone48,9.75956E+15,sa,72.23.124.2,aam5kg92spu0pn7
180067,d29003d7f3ec1f0e4ca9cc17e6389b4a4phcg,jefix,jewelry,phone22,9.75981E+15,id,47.24.208.98,owbpvn6xsm99gyk
198242,11a38554244f3c14de043aaf52345c35jjqvo,jefix,home goods,phone223,9.75988E+15,vn,82.194.166.195,nizbojepfl0gnie
207547,d878560888b11447e73324a6e263fbd5iydo1,lqpns,sporting goods,phone199,9.75992E+15,my,76.132.203.249,vasstdc27m7nks3
996924,c748f0d69cc89d5812c9fe3a6413bbb26351l,8m6y1,books and music,phone189,9.76454E+15,in,213.225.77.188,aapxkmmxtf6k390
369187,322addd5687d99bf69306148e12f87dc5jbsh,hu49k,home goods,phone4,9.76112E+15,id,232.192.233.182,vasstdc27m7nks3
